                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4887,                0.73578,                 2.4323,                0.17208,                0.05753,                0.00352,                0.00103,                 1.5333,                0.55972,                 2.5914,               0.082068,              1.795e-05,              1.795e-05
                      2,                 1.4207,                0.59417,                 2.2619,                0.33829,                0.13951,                0.02755,                0.00712,                 1.3764,                0.66021,                 2.3084,               0.064086,              3.595e-05,              3.595e-05
                      3,                 1.3509,                0.64888,                 2.0801,                0.18261,                0.15562,                0.01967,                0.00459,                 1.3393,                 0.6909,                 2.1419,               0.046104,              5.395e-05,              5.395e-05
                      4,                 1.1585,                0.75649,                 1.6857,                0.23453,                0.27889,                0.05817,                0.01336,                 1.0181,                0.90943,                 1.5087,               0.028122,              7.195e-05,              7.195e-05
                      5,                0.96438,                0.86694,                 1.2483,                0.10211,                0.18883,                0.09114,                0.02629,                0.93721,                0.91126,                 1.2722,                0.01014,              8.995e-05,              8.995e-05
                      6,                0.90843,                0.86958,                 1.0575,                0.32809,                0.21932,                 0.1542,                 0.0475,                0.88376,                0.86569,                 1.0908,                 0.0001,                 0.0001,                 0.0001
                      7,                0.85157,                0.89524,                0.91478,                0.30464,                0.18373,                0.10826,                0.03054,                 1.0032,                0.79392,                 1.3739,                 0.0001,                 0.0001,                 0.0001
                      8,                0.83821,                0.88823,                0.89367,                0.43886,                0.31445,                0.25289,                0.08615,                0.74877,                0.90829,                0.83024,                 0.0001,                 0.0001,                 0.0001
                      9,                0.75245,                0.98962,                0.77923,                0.18744,                0.28784,                0.17063,                0.06406,                0.65575,                 1.1557,                0.74683,                 0.0001,                 0.0001,                 0.0001
                     10,                0.64618,                 1.1441,                0.64272,                0.36272,                0.25985,                0.17721,                0.06879,                0.62287,                  1.163,                0.74632,                 0.0001,                 0.0001,                 0.0001
                     11,                0.60578,                 1.1655,                0.59738,                0.39402,                0.35489,                0.25209,                0.11087,                0.53464,                 1.2355,                0.54041,                 0.0001,                 0.0001,                 0.0001
                     12,                0.56959,                 1.2086,                0.54615,                0.36072,                 0.3446,                0.25448,                0.10725,                0.50962,                 1.2852,                0.53081,                 0.0001,                 0.0001,                 0.0001
                     13,                0.53829,                 1.2313,                0.51546,                0.44562,                0.25159,                0.17859,                 0.0753,                0.60719,                 1.2979,                0.73487,                 0.0001,                 0.0001,                 0.0001
                     14,                0.51936,                 1.2313,                0.49655,                0.29896,                0.41807,                0.33265,                0.15935,                0.47002,                 1.2614,                0.48792,                 0.0001,                 0.0001,                 0.0001
                     15,                0.48694,                 1.2381,                0.46808,                0.39279,                0.38811,                 0.2851,                0.14598,                0.45993,                  1.273,                0.46866,                 0.0001,                 0.0001,                 0.0001
                     16,                0.47036,                 1.2348,                0.45285,                0.45509,                0.34623,                0.32932,                0.15855,                0.44018,                 1.3031,                0.48021,                 0.0001,                 0.0001,                 0.0001
                     17,                0.47246,                 1.2177,                0.44226,                0.54122,                0.36282,                0.35987,                 0.1885,                0.43065,                 1.2969,                0.46821,                 0.0001,                 0.0001,                 0.0001
                     18,                0.46947,                 1.2139,                0.43853,                0.67861,                 0.2879,                0.34681,                0.17415,                0.44296,                 1.2664,                0.45772,                 0.0001,                 0.0001,                 0.0001
                     19,                0.46791,                 1.1838,                0.44356,                 0.5482,                0.36026,                0.38063,                0.19588,                0.43007,                 1.2514,                0.45813,                 0.0001,                 0.0001,                 0.0001
                     20,                0.45537,                 1.1829,                0.42408,                0.58695,                0.38218,                0.42523,                0.22942,                0.40946,                  1.228,                0.43212,                 0.0001,                 0.0001,                 0.0001
                     21,                0.45648,                  1.164,                0.43299,                0.54889,                0.38181,                  0.408,                0.21289,                0.42773,                 1.2238,                0.44279,                 0.0001,                 0.0001,                 0.0001
                     22,                0.45138,                 1.1767,                0.42667,                0.55756,                0.41789,                0.42681,                0.22646,                0.42376,                 1.2204,                0.43734,                 0.0001,                 0.0001,                 0.0001
                     23,                0.45082,                 1.1416,                 0.4272,                0.52585,                0.40058,                 0.3985,                0.22693,                 0.4067,                 1.2388,                0.41818,                 0.0001,                 0.0001,                 0.0001
                     24,                0.43671,                 1.1666,                0.40767,                0.62798,                0.37674,                0.42938,                  0.238,                  0.417,                 1.1992,                 0.4348,                 0.0001,                 0.0001,                 0.0001
                     25,                0.43638,                 1.1653,                0.40998,                0.58122,                0.40738,                0.45498,                 0.2422,                0.40935,                 1.1881,                0.42027,                 0.0001,                 0.0001,                 0.0001
                     26,                0.43537,                 1.1371,                0.40356,                0.64426,                0.42255,                0.46176,                0.24853,                0.41798,                 1.1602,                0.45841,                 0.0001,                 0.0001,                 0.0001
                     27,                0.44106,                 1.1132,                0.41894,                 0.6277,                0.38144,                0.47672,                0.25756,                0.41489,                 1.1544,                 0.4365,                 0.0001,                 0.0001,                 0.0001
                     28,                0.43251,                 1.1203,                0.41339,                0.61718,                0.42595,                0.48663,                0.25862,                0.41892,                  1.167,                0.43699,                 0.0001,                 0.0001,                 0.0001
                     29,                0.43219,                 1.1183,                 0.4054,                0.63295,                0.45693,                0.50045,                0.28182,                0.42093,                 1.1067,                0.44924,                 0.0001,                 0.0001,                 0.0001
                     30,                0.42458,                 1.1046,                0.40276,                0.66994,                0.44045,                0.50094,                0.27594,                0.42427,                 1.1276,                0.45933,                 0.0001,                 0.0001,                 0.0001
                     31,                0.42492,                 1.0991,                0.40586,                0.66811,                0.43398,                0.49152,                0.27436,                0.41729,                 1.1113,                 0.4579,                 0.0001,                 0.0001,                 0.0001
